1	1 1 4 6	4.39	99.2%	4.66	1.47
2	1 1 3 8	4.42	99.2%	4.69	1.48
3	1 1 11 11	4.43	99.6%	4.69	1.44
4	1 1 1 8	4.45	98.9%	4.65	1.23
5	6 6 6 6	4.58	99.5%	4.81	1.48
6	1 1 2 12	4.62	99.2%	4.96	1.56
7	1 2 2 6	4.8	99.2%	5.16	1.6
8	1 1 10 12	4.81	99%	5.05	1.55
9	2 2 10 10	4.83	98.3%	5.12	1.62
10	1 1 1 12	4.86	99.2%	5.18	1.62
11	1 1 2 8	4.97	97.8%	5.33	1.76
12	1 1 4 8	5.01	98.2%	5.39	1.85
13	1 1 5 8	5.01	96.5%	5.38	1.81
14	2 2 2 12	5.02	99.2%	5.37	1.7
15	1 1 3 12	5.03	97.3%	5.37	1.83
16	1 1 4 12	5.03	97.5%	5.45	1.83
17	1 1 12 12	5.04	99.4%	5.41	1.66
18	3 3 3 8	5.04	98.1%	5.41	1.79
19	4 6 11 11	5.04	98.9%	5.42	1.74
20	1 1 2 6	5.07	98.5%	5.39	1.6
21	1 1 2 11	5.11	98.9%	5.43	1.71
22	11 11 12 12	5.12	98.8%	5.52	1.88
23	1 2 3 4	5.13	99.1%	5.48	1.82
24	1 1 13 13	5.14	99.4%	5.45	1.63
25	3 7 7 8	5.15	96.8%	5.53	1.91
26	1 1 3 9	5.18	97%	5.52	1.84
27	1 2 4 12	5.18	97.7%	5.6	2
28	1 1 2 13	5.19	98.7%	5.49	1.78
29	1 1 5 6	5.19	97%	5.64	2.05
30	1 1 3 6	5.2	97.8%	5.54	1.77
31	4 6 7 7	5.2	98.7%	5.54	1.83
32	7 7 12 12	5.21	98.6%	5.6	1.86
33	1 1 11 13	5.23	99.1%	5.66	1.82
34	4 5 12 12	5.24	97%	5.6	1.78
35	1 6 6 12	5.25	98.8%	5.58	1.71
36	4 4 4 6	5.26	98.2%	5.63	1.96
37	4 6 13 13	5.26	98.8%	5.66	1.79
38	12 12 12 12	5.26	99.3%	5.72	2.09
39	2 11 11 12	5.27	97.3%	5.7	2.01
40	1 1 1 11	5.29	97.4%	5.58	1.65
41	1 1 11 12	5.29	99.3%	5.68	1.78
